category,ticker,name,strategy,total_return_pct
투자자별,000300,000300,RSI_14_30_F5,-13.531716470999406
투자자별,002460,002460,TrendStr_10_50_5,-13.569240529999258
투자자별,032640,032640,MACD_8_21_5_F10,-13.633579889999108
투자자별,000590,000590,RSI_7_25_F10,-13.670621849999325
투자자별,039570,039570,BB_20_2_F5,-13.69040358499971
투자자별,035000,035000,RSI_14_30_F5,-13.699301649999637
투자자별,051915,051915,SmartDiv_20_10,-13.719132299998716
투자자별,007070,007070,MACD_12_26_9_F5,-13.771262492999522
투자자별,014790,014790,BB_20_2_F5,-13.804388109999746
앙상블,6400,삼성SDI,MomQuality_20_10,-13.83912452099912
투자자별,001465,001465,VolSpike_10_3x,-13.93362423999968
투자자별,003555,003555,VolSpike_10_3x,-13.962712585999723
투자자별,010120,010120,VolSpike_10_3x,-13.97242049999988
투자자별,001045,001045,SmartDiv_50_20,-14.063977898999571
앙상블,28300,HLB,MeanRev_20_2.5,-14.106997611999958
투자자별,007070,007070,MACD_8_21_5_F10,-14.202657245999337
투자자별,009540,009540,TrendStr_20_100_10,-14.251241928999544
투자자별,001460,001460,BB_20_2.5_F10,-14.452369549999863
투자자별,051905,051905,VolSpike_20_2x,-14.465595399998932
투자자별,000210,000210,VolAdj_F5_V15,-14.467976378999143
앙상블,263750,펄어비스,MeanRev_20_2,-14.55339522999978
투자자별,035000,035000,VolSpike_20_2x,-14.609213779999136
앙상블,28300,HLB,Breakout_20_5,-14.631156499999404
투자자별,007340,007340,MACD_8_21_5_F10,-14.666924500999182
투자자별,011150,011150,RetailContra_5_80,-14.692657654998392
투자자별,000120,000120,BB_20_2.5_F10,-14.723502999999896
투자자별,000300,000300,MACD_8_21_5_F10,-14.73929028899938
앙상블,51910,LG화학,Voting_5,-14.758236499998734
투자자별,005830,005830,MACD_12_26_9_F5,-14.77965824999945
투자자별,001530,001530,BB_20_2.5_F10,-14.800868601999897
앙상블,263750,펄어비스,Adaptive_30,-14.842258219999476
투자자별,000210,000210,VolAdj_F10_V20,-14.913949628999188
투자자별,001250,001250,RSI_14_30_F5,-14.98838171499954
투자자별,060980,060980,MACD_12_26_9_F5,-15.16261064999938
투자자별,037560,037560,RetailContra_10_90,-15.316717179999664
앙상블,5930,삼성전자,VolBreak_0.4_3,-15.323841739997771
앙상블,51910,LG화학,MultiFactor_443_50,-15.617124199998583
투자자별,001045,001045,VolSpike_20_2x,-15.636326563998804
앙상블,251270,넷마블,Breakout_10_3,-15.711467899999144
