symbol,profit_factor,total_return,win_rate,mdd,num_trades,sharpe,data_start,data_end
QUICKUSDT,0.3708223946946093,-52.81301964000769,22.857142857142858,-60.922045867229755,35,-1.8420326799446383,2024-09-06,2025-12-28
RADUSDT,0.2905387051722401,-42.612772454746676,29.166666666666668,-43.06570969008934,24,-1.1194843818608577,2023-05-10,2025-12-28
RAREUSDT,0.5086201579228689,-43.52819204447198,27.586206896551722,-64.97793201402867,29,-0.8972423979620453,2024-08-15,2025-12-20
RAYSOLUSDT,1.004231952958447,0.3044776085835643,38.88888888888889,-39.94860850413859,18,0.021635115916592267,2024-12-10,2025-12-20
RAYUSDT,2.5086173652232944,135.0168221558905,40.0,-23.323559267347328,20,0.4071829435278012,2021-08-20,2025-12-28
RDNTUSDT,0.8392875899477035,-32.12022448369205,43.75,-61.06080691780662,48,-0.04264685208461345,2023-04-05,2025-12-20
REDUSDT,0.1918964670688021,-81.87131108506756,20.0,-83.71950334238328,20,-2.0073611966779574,2025-03-06,2025-12-20
REEFUSDT,1.0575113616712324,19.210198398905387,40.845070422535215,-42.11971679854691,71,0.22546715624728728,2021-02-22,2025-12-28
REIUSDT,1.2042119553067876,18.829961063128643,44.44444444444444,-39.31235258149714,27,0.07433727898624269,2024-09-27,2025-12-28
RENDERUSDT,1.0509710743530785,3.1106133019225046,37.03703703703704,-39.57256791667449,27,-0.3781118498633148,2024-07-26,2025-12-20
RENUSDT,0.5327369998536283,-90.67577636644481,25.510204081632654,-91.78055724362706,98,-0.6520011409056736,2021-01-01,2025-12-28
REZUSDT,0.9820530093784554,-3.343507761680653,33.33333333333333,-56.16420570216805,36,0.046846112955555796,2024-04-30,2025-12-20
RIFUSDT,1.071973933987075,12.17585939830288,31.70731707317073,-45.03115250839077,41,0.22027061886786395,2023-10-21,2025-12-20
RLCUSDT,0.692633607015159,-74.13855689922846,28.431372549019606,-83.34773983022139,102,-0.43795598837872485,2021-11-11,2025-12-20
RONINUSDT,1.5582307953449566,74.55766578518327,38.88888888888889,-36.27825643333428,36,0.5763510614600925,2024-02-06,2025-12-20
ROSEUSDT,1.304282918741603,156.8457324056817,38.15789473684211,-40.854141104861746,76,0.45612464939353736,2021-12-31,2025-12-20
RPLUSDT,0.7866354881930376,-25.91130622690364,32.0,-65.37441119054715,25,-0.476052937738616,2024-09-09,2025-12-20
RSRUSDT,1.143145074467306,85.3849522002292,34.5679012345679,-55.979522852646404,81,0.37584016769947326,2021-11-11,2025-12-20
RUNEUSDT,1.2351717540939933,69.27704280941158,40.229885057471265,-57.43152472684541,87,0.32973404235183873,2021-11-11,2025-12-20
RVNUSDT,1.0504557290409866,22.74165116572908,39.02439024390244,-67.29003003947341,82,0.24789313986304745,2021-11-11,2025-12-20
SAFEUSDT,1.6142396988598622,64.74073201731414,42.857142857142854,-31.367197121991623,21,0.7348203691443759,2024-10-25,2025-12-20
SAGAUSDT,1.287399942390715,58.470536592550815,40.0,-41.054620919672466,30,0.42793774418320385,2024-04-09,2025-12-20
